constellation	ra1_hours	dec1_deg	ra2_hours	dec2_deg
And	2.064987	42.32970	1.162200	35.62060
And	1.162200	35.62060	0.655467	30.86100
And	0.655467	30.86100	0.139793	29.09040
And	0.953447	23.41760	0.788980	24.26720
And	0.788980	24.26720	0.642593	29.31180
And	0.642593	29.31180	0.655467	30.86100
And	0.655467	30.86100	0.614680	33.71930
And	0.614680	33.71930	23.635613	43.26810
And	23.635613	43.26810	23.032020	42.32600
And	23.635613	43.26810	23.673473	44.33390
And	23.673473	44.33390	23.626067	46.45820
And	1.162200	35.62060	0.945893	38.49930
And	0.945893	38.49930	0.830233	41.07890
And	0.830233	41.07890	1.158367	47.24180
And	1.158367	47.24180	1.633213	48.62820
And	23.673473	44.33390	23.767233	46.42030
Ant	9.487420	-35.95130	10.452527	-31.06780
Ant	10.452527	-31.06780	10.945293	-37.13780
Aps	14.797700	-79.04480	16.339113	-78.69570
Aps	16.339113	-78.69570	16.717960	-77.51740
Aps	16.717960	-77.51740	16.557520	-78.89710
Aqr	20.794600	-9.49580	20.877567	-8.98330
Aqr	20.877567	-8.98330	21.525980	-5.57120
Aqr	21.525980	-5.57120	22.096400	-0.31990
Aqr	22.096400	-0.31990	22.360940	-1.38730
Aqr	22.360940	-1.38730	22.480533	-0.02000
Aqr	22.480533	-0.02000	22.589273	-0.11750
Aqr	22.589273	-0.11750	22.876907	-7.57960
Aqr	22.876907	-7.57960	23.298393	-9.18250
Aqr	23.298393	-9.18250	23.157447	-21.17240
Aqr	21.525980	-5.57120	22.107287	-13.86970
Aqr	22.096400	-0.31990	22.280567	-7.78330
Aqr	22.480533	-0.02000	22.421287	1.37740
Aqr	23.382840	-20.10060	23.298393	-9.18250
Aqr	23.298393	-9.18250	23.696060	-17.81650
Aql	19.770993	10.61330	19.846387	8.86830
Aql	19.846387	8.86830	19.921887	6.40680
Aql	19.921887	6.40680	20.188413	-0.82150
Aql	20.188413	-0.82150	19.874547	1.00570
Aql	19.874547	1.00570	19.424973	3.11480
Aql	19.424973	3.11480	19.090167	13.86350
Aql	19.090167	13.86350	19.846387	8.86830
Aql	19.846387	8.86830	19.424973	3.11480
Aql	19.424973	3.11480	19.104147	-4.88260
Ara	17.423240	-56.37770	17.518307	-60.68380
Ara	17.518307	-60.68380	16.829767	-59.04140
Ara	16.829767	-59.04140	16.977000	-55.99010
Ara	16.977000	-55.99010	16.993067	-53.16040
Ara	16.993067	-53.16040	17.530693	-49.87610
Ara	17.530693	-49.87610	17.421667	-55.52990
Ari	2.833067	27.26050	2.119560	23.46240
Ari	2.119560	23.46240	1.910667	20.80800
Ari	1.910667	20.80800	1.892173	19.29390
Aur	5.992147	44.94740	5.278153	45.99800
Aur	5.278153	45.99800	5.108580	41.23450
Aur	5.108580	41.23450	4.949893	33.16610
Aur	4.949893	33.16610	5.438200	28.60750
Aur	5.438200	28.60750	5.995353	37.21260
Aur	5.995353	37.21260	5.992147	44.94740
Aur	5.992147	44.94740	5.992120	54.28470
Aur	5.992120	54.28470	5.278153	45.99800
Aur	5.278153	45.99800	5.032813	43.82330
Aur	5.032813	43.82330	5.041300	41.07580
Boo	13.787707	17.45690	13.911413	18.39770
Boo	13.911413	18.39770	14.261020	19.18240
Boo	14.261020	19.18240	14.530500	30.37140
Boo	14.530500	30.37140	14.534633	38.30830
Boo	14.534633	38.30830	15.032433	40.39060
Boo	15.032433	40.39060	15.258380	33.31480
Boo	15.258380	33.31480	14.749780	27.07420
Boo	14.749780	27.07420	14.261020	19.18240
Boo	14.261020	19.18240	14.685820	13.72830
Boo	14.534633	38.30830	14.273060	46.08830
Boo	14.273060	46.08830	14.224393	51.78790
Boo	14.224393	51.78790	14.419947	51.85070
Boo	14.419947	51.85070	14.273060	46.08830
Cae	4.513913	-44.95370	4.676033	-41.86380
Cae	4.676033	-41.86380	4.700967	-37.14430
Cae	4.700967	-37.14430	5.073447	-35.48300
Cam	4.954780	53.75210	5.056967	60.44220
Cam	5.056967	60.44220	4.900833	66.34270
Cam	4.900833	66.34270	3.839307	71.33230
Cam	3.839307	71.33230	3.825353	65.52600
Cam	3.825353	65.52600	3.484480	59.94030
Cam	4.900833	66.34270	6.314107	69.31980
Cam	6.314107	69.31980	7.001120	76.97740
Cnc	8.974787	11.85770	8.744747	18.15430
Cnc	8.744747	18.15430	8.721427	21.46850
Cnc	8.721427	21.46850	8.777773	28.76510
Cnc	8.744747	18.15430	8.275253	9.18550
CVn	12.933460	38.31490	12.562373	41.35750
CMa	6.378327	-17.95590	6.752480	-16.71610
CMa	6.752480	-16.71610	7.050407	-23.83330
CMa	7.050407	-23.83330	7.139860	-26.39320
CMa	7.139860	-26.39320	7.028653	-27.93480
CMa	7.028653	-27.93480	6.977100	-28.97210
CMa	6.977100	-28.97210	6.338553	-30.06340
CMa	7.401587	-29.30310	7.139860	-26.39320
CMa	6.752480	-16.71610	6.935620	-17.05420
CMa	6.935620	-17.05420	7.062640	-15.63330
CMa	7.062640	-15.63330	6.903167	-12.03860
CMa	6.903167	-12.03860	6.935620	-17.05420
CMi	7.655033	5.22500	7.452513	8.28930
Cap	20.294133	-12.50820	20.350187	-14.78140
Cap	20.350187	-14.78140	20.481007	-17.81370
Cap	20.481007	-17.81370	20.768260	-25.27090
Cap	20.768260	-25.27090	20.863693	-26.91910
Cap	20.863693	-26.91910	21.444453	-22.41130
Cap	21.444453	-22.41130	21.784013	-16.12730
Cap	21.784013	-16.12730	21.668180	-16.66230
Cap	21.668180	-16.66230	21.370780	-16.83450
Cap	21.370780	-16.83450	21.099120	-17.23290
Cap	21.099120	-17.23290	20.294133	-12.50820
Car	6.629353	-43.19590	6.399200	-52.69570
Car	6.399200	-52.69570	9.219993	-69.71720
Car	9.219993	-69.71720	10.228947	-70.03790
Car	10.228947	-70.03790	10.715947	-64.39450
Car	10.715947	-64.39450	10.533740	-61.68530
Car	10.533740	-61.68530	10.284713	-61.33230
Car	10.284713	-61.33230	9.284833	-59.27520
Car	9.284833	-59.27520	8.375233	-59.50950
Car	8.375233	-59.50950	7.946307	-52.98240
Car	7.946307	-52.98240	8.158873	-47.33660
Car	8.158873	-47.33660	8.745060	-54.70880
Car	8.745060	-54.70880	9.284833	-59.27520
Car	10.715947	-64.39450	11.109007	-62.42410
Car	11.109007	-62.42410	11.142780	-61.94720
Car	11.142780	-61.94720	11.210007	-60.31760
Car	11.210007	-60.31760	11.143167	-58.97500
Car	11.143167	-58.97500	10.891573	-58.85320
Car	10.891573	-58.85320	10.533740	-61.68530
Cas	1.906593	63.67010	1.430267	60.23530
Cas	1.430267	60.23530	0.945147	60.71670
Cas	0.945147	60.71670	0.675120	56.53730
Cas	0.675120	56.53730	0.152967	59.14980
Cen	11.350113	-54.49100	12.139307	-50.72240
Cen	12.139307	-50.72240	12.467327	-50.23060
Cen	12.467327	-50.23060	12.691953	-48.95990
Cen	12.691953	-48.95990	13.664793	-53.46640
Cen	13.664793	-53.46640	13.925660	-47.28840
Cen	13.925660	-47.28840	13.826940	-42.47370
Cen	13.826940	-42.47370	13.825080	-41.68770
