name	type	ra_hours	dec_deg	mag	common_name	aliases
ESO056-115	G	5.392917	-69.75611	0.3	Large Magellanic Cloud	
M45	OCl	3.791278	24.10528	1.2	Pleiades	Mel022
NGC1990	*	5.603561	-1.20192	1.7	Alnilam	
NGC3372	HII	10.752369	-59.86669	2.2	Carina Nebula	
IC1318	*	20.370469	40.25669	2.2	gam Cyg	
NGC0292	G	0.879106	-72.82861	2.3	Small Magellanic Cloud	
IC2391	OCl	8.675522	-53.03547	2.5	omi Vel Cluster	
NGC1980	Cl+N	5.590553	-5.90989	2.5	Lower Sword	
NGC6231	OCl	16.903033	-41.82425	2.6		
NGC3532	OCl	11.096617	-58.77050	3.0	Wishing Well Cluster	
NGC7114	*	21.695564	42.84181	3.0	Schmidt's Nova Cygni	
IC4592	RfN	16.199631	-19.45467	3.1		
M44	OCl	8.672833	19.67206	3.1	Beehive	NGC2632
NGC7000	HII	20.988094	44.52878	3.2	North America Nebula	
M7	OCl	17.897550	-34.79283	3.3	Ptolemy's Cluster	NGC6475
M31	G	0.712319	41.26906	3.4	Andromeda Galaxy	NGC0224
Cl399	*Ass	19.423333	20.18333	3.6	Brocchi's Cluster	
IC2944	Cl+N	11.596369	-63.01983	3.7	lam Cen Nebula	
IC4816	Nova	19.030700	-13.16183	3.7		
NGC0869	OCl	2.316267	57.11725	3.7	h Persei Cluster	
NGC0884	OCl	2.375583	57.14411	3.8	chi Persei Cluster	
NGC2516	OCl	7.968628	-60.75347	3.8		
NGC2232	OCl	6.466981	-4.84744	3.9		
NGC2264	Cl+N	6.682847	9.89547	3.9	Christmas Tree Cluster	
IC4605	Neb	16.503467	-25.11517	3.9		
NGC0771	*	2.057386	72.42089	4.0		
M42	Cl+N	5.587911	-5.38967	4.0	Great Orion Nebula	NGC1976
NGC0104	GCl	0.401489	-72.08144	4.1	47 Tuc Cluster	
NGC2362	OCl	7.311519	-24.95419	4.1		
IC4665	OCl	17.774217	5.64872	4.2		
M6	OCl	17.672431	-32.25417	4.2	Butterfly Cluster	NGC6405
NGC1499	Neb	4.054006	36.36747	4.2	California Nebula	
NGC1981	Cl+N	5.585997	-4.42506	4.2	Upper Sword	
NGC3114	OCl	10.041547	-60.13053	4.2		
IC2581	OCl	10.458097	-57.61731	4.3		
IC4604	Neb	16.425325	-23.43658	4.3	rho Oph Nebula	
M47	OCl	7.609728	-14.48261	4.4		NGC 2478,NGC2422
M24	*Ass	18.282256	-18.51456	4.5	Small Sgr Star Cloud	IC4715
M41	OCl	6.766650	-20.75422	4.5		NGC2287
IC2395	OCl	8.708364	-48.15056	4.6		
IC4756	OCl	18.647642	5.46217	4.6		
M25	OCl	18.529658	-19.11494	4.6		IC4725
M39	OCl	21.530089	48.43817	4.6		NGC7092
NGC6530	Cl+N	18.075286	-24.35806	4.6		
NGC6633	OCl	18.454231	6.50822	4.6		
NGC2547	OCl	8.169303	-49.20567	4.7		
NGC3293	OCl	10.596881	-58.22447	4.7		
NGC2542	**	8.187886	-12.92708	4.7		
NGC2239	Cl+N	6.532100	4.94294	4.8		NGC 2244
NGC2142	*	6.030675	-10.59794	4.9		
M10	GCl	16.952497	-4.09933	5.0		NGC6254
NGC1788	RfN	5.114783	-3.34097	5.0		
M35	OCl	6.151406	24.33864	5.1		NGC2168
NGC6025	OCl	16.054942	-60.43136	5.1		
NGC6397	GCl	17.678156	-53.67369	5.2		
M34	OCl	2.702056	42.74614	5.2		NGC1039
