name	ra_hours	dec_deg	mag
Sirius	6.752481	-16.71612	-1.44
Canopus	6.399195	-52.69566	-0.62
Arcturus	14.261030	19.18241	-0.05
Rigil Kentaurus	14.660765	-60.83398	-0.01
Vega	18.615640	38.78369	0.03
Capella	5.278150	45.99799	0.08
Rigel	5.242298	-8.20164	0.18
Procyon	7.655033	5.22499	0.40
Achernar	1.628556	-57.23676	0.45
Betelgeuse	5.919529	7.40706	0.45
Hadar	14.063729	-60.37304	0.61
Altair	19.846388	8.86832	0.76
Acrux	12.443311	-63.09909	0.77
Aldebaran	4.598677	16.50930	0.87
HYG 118360	5.277926	46.00084	0.96
Spica	13.419883	-11.16132	0.98
Antares	16.490128	-26.43200	1.06
Pollux	7.755277	28.02620	1.16
Fomalhaut	22.960838	-29.62224	1.17
Mimosa	12.795359	-59.68876	1.25
Deneb	20.690532	45.28034	1.25
Toliman	14.660346	-60.83830	1.35
Regulus	10.139532	11.96721	1.36
Adhara	6.977097	-28.97208	1.50
Castor	7.576634	31.88828	1.58
Gacrux	12.519429	-57.11321	1.59
Shaula	17.560145	-37.10382	1.62
Bellatrix	5.418851	6.34970	1.64
Elnath	5.438198	28.60745	1.65
Miaplacidus	9.220041	-69.71721	1.67
Alnilam	5.603559	-1.20192	1.69
Alnair	22.137209	-46.96097	1.73
Alnitak	5.679313	-1.94257	1.74
Gam2Vel	8.158876	-47.33659	1.75
Alioth	12.900472	55.95982	1.76
Mirfak	3.405378	49.86118	1.79
Kaus Australis	18.402868	-34.38462	1.79
Dubhe	11.062155	61.75103	1.81
Wezen	7.139857	-26.39320	1.83
Alkaid	13.792354	49.31327	1.85
Avior	8.375236	-59.50948	1.86
Sargas	17.621980	-42.99782	1.86
Menkalinan	5.992149	44.94743	1.90
Atria	16.811077	-69.02772	1.91
Alhena	6.628528	16.39925	1.93
Alsephina	8.745059	-54.70882	1.93
Peacock	20.427459	-56.73509	1.94
Polaris	2.529750	89.26411	1.97
Mirzam	6.378329	-17.95592	1.98
Alphard	9.459790	-8.65860	1.99
Hamal	2.119555	23.46242	2.01
Algieba	10.332873	19.84149	2.01
Diphda	0.726490	-17.98661	2.04
Nunki	18.921090	-26.29672	2.05
Menkent	14.111395	-36.36995	2.06
Alpheratz	0.139791	29.09043	2.07
Mirach	1.162194	35.62056	2.07
Saiph	5.795941	-9.66961	2.07
Kochab	14.845105	74.15551	2.07
Tiaki	22.711115	-46.88458	2.07
Rasalhague	17.582241	12.56003	2.08
Algol	3.136148	40.95565	2.09
Almach	2.064984	42.32973	2.10
Denebola	11.817663	14.57206	2.14
Cih	0.945143	60.71674	2.15
Gam Cen	12.691971	-48.95989	2.20
Naos	8.059737	-40.00315	2.21
Aspidiske	9.284838	-59.27523	2.21
Alphecca	15.578128	26.71469	2.22
Suhail	9.133268	-43.43259	2.23
Mizar	13.398747	54.92536	2.23
Sadr	20.370473	40.25668	2.23
Schedar	0.675116	56.53733	2.24
Eltanin	17.943437	51.48889	2.24
Mintaka	5.533445	-0.29909	2.25
Caph	0.152887	59.14978	2.28
Eps Cen	13.664796	-53.46639	2.29
Dschubba	16.005557	-22.62171	2.29
Larawag	16.836080	-34.29323	2.29
Uridim	14.698823	-47.38820	2.30
Eta Cen	14.591786	-42.15782	2.33
Merak	11.030677	56.38243	2.34
Izar	14.749784	27.07422	2.35
Enif	21.736433	9.87501	2.38
Kap Sco	17.708132	-39.02998	2.39
Ankaa	0.438056	-42.30598	2.40
Phecda	11.897168	53.69476	2.41
Sabik	17.172968	-15.72491	2.43
Scheat	23.062901	28.08279	2.44
Aludra	7.401584	-29.30310	2.45
Alderamin	21.309630	62.58557	2.45
Markeb	9.368562	-55.01067	2.47
Aljanah	20.770178	33.97026	2.48
Markab	23.079348	15.20526	2.49
Menkar	3.037992	4.08973	2.54
13Zet Oph	16.619316	-10.56709	2.54
Leepwal	13.925667	-47.28838	2.55
Zosma	11.235138	20.52372	2.56
Acrab	16.090620	-19.80545	2.56
Arneb	5.545504	-17.82229	2.58
Del Cen	12.139310	-50.72243	2.58
Gienah	12.263437	-17.54193	2.58
Ascella	19.043532	-29.88011	2.60
Zubeneschamali	15.283449	-9.38292	2.61
Unukalhai	15.737798	6.42563	2.63
Sheratan	1.910668	20.80804	2.64
Phact	5.660817	-34.07411	2.65
Mahasim	5.995351	37.21258	2.65
Kraz	12.573121	-23.39676	2.65
Ruchbah	1.430216	60.23528	2.66
Muphrid	13.911411	18.39772	2.68
Bet Lup	14.975537	-43.13396	2.68
Hassaleh	4.949894	33.16609	2.69
Mu Vel	10.779488	-49.42025	2.69
Alp Mus	12.619739	-69.13556	2.69
Lesath	17.512732	-37.29581	2.70
Pi Pup	7.285711	-37.09747	2.71
Kaus Media	18.349900	-29.82810	2.72
Tarazed	19.770994	10.61326	2.72
Yed Prior	16.239094	-3.69432	2.73
Athebyne	16.399860	61.51421	2.73
The Car	10.715949	-64.39445	2.74
Porrima	12.694345	-1.44938	2.74
Hatysa	5.590551	-5.90990	2.75
Kulou	13.343296	-36.71229	2.75
